citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2019,2003,1,5,1
2019,1979,1,0,1
2019,2002,1,2,1
2019,1999,1,2,2
2020,2020,4,7,1
2020,2020,4,4,1
2020,2016,4,3,1
2020,2019,4,3,1
2018,2016,7,3,1
2018,2016,7,2,1
2018,2016,7,4,1
2020,2015,6,6,1
2020,2013,6,0,1
2021,2006,2,2,1
2021,1999,2,2,1
2021,2013,2,0,2
2021,2008,2,2,2
2021,2011,2,2,4
2021,2016,4,2,1
2019,2006,1,5,1
2019,2000,1,5,1
2019,2003,1,2,1
2019,2014,1,7,1
2019,2016,1,2,1
2019,2005,1,2,1
2019,2011,1,2,1
2019,2016,1,4,1
2019,2013,2,5,1
1999,1980,2,2,1
1999,1992,2,3,1
1999,1990,2,2,1
2001,1996,0,0,1
2001,1991,0,0,1
2010,2011,0,0,1
2010,2009,0,2,1
2020,2013,2,4,1
2020,2019,2,7,1
2016,2002,6,2,1
2016,2005,6,2,1
1998,1979,1,0,1
2019,2005,5,2,1
2020,2011,3,6,1
2020,2015,3,6,1
2020,2021,3,4,1
2013,1998,2,2,1
2019,2014,0,7,2
2019,2018,0,6,1
2017,2017,7,4,1
2017,2006,7,5,1
2017,2016,7,1,1
2017,2005,7,2,2
2017,2011,7,3,1
2017,2014,7,2,1
2017,2002,7,2,1
2017,2014,7,7,2
2017,2015,7,2,1
2017,2011,7,5,1
2017,2015,7,3,1
2017,2024,7,2,1
2012,1979,1,0,1
2012,2011,1,2,1
2012,2002,0,2,2
2012,2014,0,2,1
2012,2006,0,0,1
2012,2018,0,2,1
2015,2016,2,4,2
2021,2016,2,3,1
2021,2016,2,2,2
2021,2017,2,2,3
2021,2018,2,2,1
2021,2019,2,2,4
2021,2023,2,2,1
2021,2019,6,3,1
2021,2006,2,0,1
2021,2019,2,0,1
2019,2005,7,2,1
2019,2011,7,6,1
2019,2015,7,6,2
2019,1984,7,0,1
2019,2014,7,3,1
2019,2014,7,2,1
2019,2013,7,2,1
2019,2016,7,1,1
